keys,es,en
Text/2e/text,"…Cuando abrí los ojos, me encontraba en una extraña cueva con paredes oscuras y viscosas, mi cuerpo seguía flotando por lo que sabía que seguía en el agua.","When I opened my eyes, I found myself in a strange dark, viscous cave, my body was still floating so I knew I was still underwater."
Text/2f/text,Lentamente puse mi mano sobre mi cabeza… ¿Por qué se sentía tan pegajosa?,I slowly put my hand on my head… Why did it feel so sticky?
Text/30/text,¡¿...Y por qué tenía manos palmeadas?!,And why did I have webbings on my hands?!
Text/31/text,¡¿...Q-QUÉ ES ESTOOOO?!,...W-WHAT IS THIIIIIS?!
Text/32/text,"Todo mi cuerpo estaba cubierto de escamas, tenía branquias en el cuello y el torso, por no mencionar que mis piernas habían sido reemplazadas por una cola como una sirena.","My whole body was covered in scales, I had gills on my neck and torso, not to mention my legs had been replaced by a mermaid tail."
Text/33/text,Me había transformado en un hombre pez… ¿...Tritón? …Bueno qué más da.,I had been turned into a fish man… …triton? Well you know what I mean.
Text/34/text,Jejejeje… ¿Disfrutando de tu nuevo cuerpo chaval?,"Kehehehe… Enjoying your new body, punk?"
Text/35/text,"Esa era la misma voz de antes, giré para ver esos mismos ojos azules observándome desde un pasaje oscuro de la cueva.","That was the same voice as before, I turned around to see those very same eyes as before observing me from a dark passage within the cave."
Text/36/text,"Ví como se acercaba, por fin pudiendo ver su verdadera apariencia…","I watched as it moved closer, finally being able to see its true appearance…"
Text/37/text,"Bienvenido a mi humilde morada, ahora eres parte de este mundo gracias a mi maldición, por lo que me temo que estás atrapado aquí abajo conmigo, ¡Jajajajaja! ¡Te pasa por embustero!","Welcome to my humble abode, now you’re part of this world thanks to my curse, so i’m afraid you’re trapped down here with me, Kyahahahaha! That’s what you get for being an ingrate!"
Text/38/text,¡¿...Q-Qué demonios eres?!,...W-What the hell are you?!
Text/39/text,"Ah cierto, no me llegué a presentar…","Ah yes, I never introduced myself did I…?"
Text/3a/text,"Me llamo Eris, y soy una infame bruja marina, que suerte la tuya al haber sido rescatado por una anfitriona tan buena como yo, jeje.","My name is Eris, i’m an infamous sea witch, how fortunate you are to have been rescued by such a wonderful hostess, hehe."
Text/3b/text,"Casi ni podía mirarle a la cara, sus ojos y su sonrisa me helaban la sangre…","I could hardly look at her face, her eyes and grin made my blood run cold…"
Text/3c/text,"¿Qué te pasa eh? Ya soy consciente de que soy hermosa, no hace falta que apartes la vista, ¡jajaja!","What’s wrong huh? I’m well aware of how beautiful I am, no need to look away now, kyahaha!"
Text/3d/text,De solo oírla hablar ya podía discernir que tenía el ego subido a más no poder… [b] Tengo que tener cuidado con lo que digo o puede que me arrepienta… [/b],Just hearing her talk let me know how much of an ego she had… [b] I need to be careful with what I say or I may regret it… [/b]
Text/3e/text,"Vamos chaval, habla de una vez, es de mala educación no responder a una dama, ¿a que soy hermosa eh?","C’mon boy, speak up already, its quite rude to leave a lady hangin’, am I not beautiful or what?"
Label/3f/display_name,,
Choice/40/text,...E-Eres muy hermosa…,...Y-You’re very beautiful…
Choice/40/disabled_text,,
Text/41/text,...E-Eres muy hermosa…,...Y-You’re very beautiful…
Text/42/text,"¡Jajaja! ¡Así me gusta, obediente y halagador! Estáte agradecido ya que la mayoría de humanos que han venido aquí ya terminaron como ingredientes para mis pociones!","Kyahaha! That’s what I like to hear, so obedient and flattering! Better be grateful ‘cause most humans that end up here had already been turned into ingredients for my potions by now!"
Text/43/text,"Estaba jugando conmigo, poniéndome a prueba como si fuera una mascota… Esto es vergonzoso a más no poder, pero supongo que es mejor que terminar muerto…","She was toying with me, testing me as if I were a pet… This is the most humiliating moment of my life, but I suppose its better than being dead…"
Choice/44/text,Creo que voy a vomitar…,I think i’m about to puke…
Choice/44/disabled_text,,
Text/45/text,Ah ¿conque esas tenemos eh? ¿Aún no comprendes en qué situación estás?,"Oh, so that’s how it is huh? You still don’t get the situation you’re in?"
Text/46/text,"En un instante ví como la bruja me abofeteó tan fuerte que me puso horizontal, rápidamente tuve que intentar nadar con mi nueva cola para ponerme correctamente.","In an instant the witch smacked me across the face so hard that I ended up floating horizontally like a dead fish, I had to quickly swim with my new tail just to get myself back upright."
Text/47/text,"¡Jajajaja! Oh esto es increíble, deberías haber visto tu cara! ¡Nadas como un manatí a la deriva!","Kyahahaha! Oh this is lovely, you should’ve seen the look on your face! You swim like an adrift manatee!"
Text/48/text,"Me estaba rozando la herida con la mano mientras la bruja se burlaba de mí, ahora tenía una parte de mi cara hinchada, genial…","I was rubbing my wound as the witch mocked me, now part of my face was all swollen, great…"
Text/49/text,"Bien, continuemos esta conversación en mi sala de estar, tengo interés por conocer más a fondo a mi nuevo esbirro, jeje.","Alright, let’s continue this conversation in my living room, I am quite intrigued to learn more about my new minion, hehe."
Text/4a/text,"Eris me guió a través de su cueva, utilicé la oportunidad para aprender a nadar mejor con mi nueva cola, era difícil, pero sentía que me estaba empezando a acostumbrar un poco…","Eris lead me through her cave, I used the opportunity to learn to swim better with my new tail, it was hard, but I felt that I was starting to get used to it…"
Label/4b/display_name,,
Text/4c/text,"Llegamos a la ‘sala de estar’, había varias estanterías de piedra con objetos extraños y otras partes del cuerpo, en medio había un cráter volcánico que expulsaba vapor como si fuera un caldero, producía mucho calor y olía fatal.","We arrived at the ‘living room’, there were several rock shelves with strange items and other body parts, in the middle there was a volcanic crater that constantly let out dense steam as if it were a cauldron, it was very hot and smelled horrible."
Text/4d/text,¡Mucho mejor! Ahora que estamos aquí vamos a hablar en condiciones…,Much better! Now we can talk properly…
Text/4e/text,"Cuéntame algo de ti esbirro, ¿Qué estúpida decisión te llevó a querer adentrarte en la mar?","Tell me about yourself minion, what sort of stupid decision made you want to go so far into the sea?"
Text/4f/text,Ehh… pues…,Erm… well…
Label/50/display_name,,
Choice/51/text,Es mi pasión...,It's my passion…
Choice/51/disabled_text,,
Text/52/text,Es mi pasión…,It's my passion…
Text/53/text,¿Tu pasión? ¿Qué clase de pasión es esa? ¿Acaso quieres morir?,Your passion? What sort of passion is that? You got a death wish or something?
Text/54/text,"Practico un deporte llamado surf, te montas en una tabla e intentas montar olas por el mayor tiempo posible, me resulta emocionante.","I practice a sport known as surfing, you get on a board and try to ride waves for as long as possible, I find it quite enjoyable."
Text/55/text,"Pfft… ¿Emocionante? Si, supongo que puedo verlo, si por emocionante te refieres a intentar dominar el mar y fallar estrepitosamente.","Pfft… enjoyable? Yes I suppose I can see it, if you find trying to dominate the sea and failing hilariously as something enjoyable."
Text/56/text,"El mar castiga a los incrédulos como tú, normal que hayas terminado aquí abajo conmigo, ¡jaja!","The sea punishes idiots like you, no wonder you ended up down here with me, haha!"
Choice/57/text,Me ayuda a escapar…,It helps me escape…
Choice/57/disabled_text,,
Text/58/text,Me ayuda a escapar…,It helps me escape…
Text/59/text,"¿Escapar? ¿De tus miedos e inseguridades? Cómo no, los humanos sois cobardes por naturaleza.","Escape? From your fears and insecurities? Of course, you humans are cowards by nature."
Text/5a/text,"Todos necesitamos escapar de vez en cuando, no lo entenderías…","We all need to escape once in a while, you wouldn’t understand…"
Text/5b/text,"¿Y de que te sirve escapar si al final terminas volviendo? Solo me da a entender que eres un inseguro, incapaz de ver nada en sí mismo.","And what use is escaping if you end up running back afterwards? It only shows you’re a fool with no backbone, unable to see anything in yourself."
Text/5c/text,La bruja agarró un hueso y lo presionó contra mi pecho repetidas veces de manera burlona.,The witch grabbed a nearby bone and tapped my chest repeatedly with it in a mocking manner.
Text/5d/text,"Aunque para mi, esto solo son ventajas, serías más feliz simplemente siguiendo mis órdenes antes que volviendo a tu mundo de humanos, ¿a que sí? ¡jajajaja!","Though to me its all advantages, you’d be much happier just by following my orders rather than going back to your human world, wouldn’t you? Kyahahaha!"
Text/5e/text,"La bruja tiró el hueso sin pensarlo mientras soltaba carcajadas, accidentalmente golpeando el techo de la cueva en el proceso, menuda habilidad…","The witch tossed the bone casually as she cackled, accidentally hitting the cave’s ceiling in the process, she’s got quite the throwing arm…"
Text/5f/text,"Vi como una estalactita se desprendía del techo tras haber sido golpeada por el hueso; aproveché el momento y cuidadosamente cogí la estalactita mientras la bruja estaba distraída, por si acaso me ayuda en un futuro… (+1 Estalactita)","I saw a stalactite break off after having been hit by the bone; I used my chance while the witch was distracted and cautiously snatched it from the ground, it might come in handy in the future…"
Choice/60/text,Quería nuevos amigos…,I wanted to find new friends…
Choice/60/disabled_text,,
Text/61/text,Quería nuevos amigos…,I wanted to find new friends…
Text/62/text,¿Amigos? ¿No se supone que los humanos sois sociables o algo así?,Friends? I thought you humans were meant to be social creatures or something like that.
Text/63/text,"Soy sociable si, pero… La mayoría de amistades que he tenido a lo largo de mi vida terminaron separándose de mí por motivos fuera de mi control…","I’m sociable yes, but… Most of the friendships i’ve had throughout my life ended up distancing themselves from me due to reasons outside of my control…"
Text/64/text,"Por muy abierto que sea, siempre termino solo…","Doesn’t matter how open or extroverted I am, I always end up alone by the end…"
Text/65/text,Ya veo… Que pena me das..,I see… How pitiful…
Text/66/text,"Por suerte para tí ahora estás aquí abajo, posiblemente para siempre, por lo que ya sabes, ¡borrón y cuenta nueva!","Luckily for you though you’re down here now, possibly forever, so you know, no better time to turn a new leaf!"
Text/67/text,"Además tus habilidades ‘sociables’ me serán de gran utilidad para mis planes, jejeje…","Not to mention just how useful your ‘social skills’ will be for my plans, kehehe…"
Text/68/text,¿...Estás insinuando que quieres ser mi amiga-?,...Are you implying you want to be my friend?
Text/69/text,"¿Qué? No te hagas ilusiones chaval yo no me junto con cualquiera y menos con humanos, como mucho vas a llegar a ser mi esbirro favorito, ¡jajaja!","What? Don’t kid yourself punk, I don’t hang out with just anyone much less humans like you, you’ll get to be my favorite minion at most, kyahaha!"
Text/6a/text,Se estaba burlando de mí por completo… Decidí armarme de valor e intentar sonsacar algo de información de ella mientras podía.,She was making a mockery of me… I decided to brace myself and try to draw out some info out of her while I still could.
Text/6b/text,"Vale… P-Pero no es justo que seas la única en preguntarme cosas, yo tengo muchas preguntas también, ¡y más aún ahora!","Alright… B-But it’s not fair that you’re the only one who gets to ask questions, I got many of my own, especially now!"
Text/6c/text,"Ugh… Bien bien, tu confusión es entendible por mucho que me moleste, te permitiré que me preguntes cosas… Más vale que sea entretenido…","Ugh… Fine, fine, your confusion is understandable as much as it pains me, I'll allow you to ask a few questions… As long as its entertaining…"
Text/6d/text,Para supuestamente tenerme como un esbirro se muestra extrañamente cooperativa… Mejor no tiento a la suerte y aprovecho…,Despite supposedly having me as her minion she seemed weirdly helpful… Better not jinx it…
Label/6e/display_name,,
Choice/6f/text,¿Qué eres exactamente?,What are you exactly?
Choice/6f/disabled_text,,
Text/70/text,¿Qué eres exactamente?,What are you exactly?
Text/71/text,"Soy lo que tu especie define como una ‘ningen’, somos una raza antigua proveniente de las profundidades de los mares árticos, aunque ya quedan muy pocos de nosotros, jeje…","I’m what your kind refers to as a ‘ningen’, an ancient race hailing from the arctic depths, though very few of us remain, hehe…"
Text/72/text,"Oh, lamento oir eso…","Oh, I'm sorry to hear…"
Text/73/text,¿Bromeas? ¡Eso significa menos competición para mi! Todos nuestros conocimientos arcanos eventualmente recaeran sobre mi una vez yo y mis padres seamos los últimos restantes.,Are you kidding? That means way less competition for me! All of our arcane knowledge will eventually fall to me once me and my parents are the last ones remaining.
Text/74/text,¿T-Tienes padres?,Y-You have parents-?
Text/75/text,¡Pues claro! ¿De dónde voy a salir yo sí no? ¿De la nada?,Of course! Where else did you think I popped out from? The void?
Text/76/text,"Perdón, tampoco te tomaba como alguien con una relación sentimental hacia sus padres…","Sorry, didn’t take you for the type to have a close bond with your parents…"
Text/77/text,"Claro que la tengo, soy una bruja pero no un monstruo, mis padres me enseñaron todo lo que sé, si crees que yo intimido no te quieres ni imaginar cómo son mis viejos.","Of course I do, I'm a witch not a monster, my parents taught me all I know, if you think i’m intimidating you don’t even wanna imagine how THEY are."
Text/78/text,"No pude evitar sentir un escalofrío de solo pensar cómo deberían ser sus padres, posiblemente abominaciones abisales fuera de mi conocimiento… No quiero volver a estar en el mar después de esto…","I couldn’t help but feel a shiver run down my spine just from thinking about how her parents may be, probably some sort of abyssal abominations far too complex for my imagination… I don’t ever wanna go out into the sea again after this…"
Choice/79/text,Por qué te haces llamar bruja?,Why do you call yourself a witch
Choice/79/disabled_text,,
Text/7a/text,¿Por qué te haces llamar bruja?,Why do you call yourself a witch
Text/7b/text,"Porque es mi oficio, obvio.","Cause it's my thing, duh."
Text/7c/text,Pero no es un título algo… ¿despectivo?,But isn’t it kind of… derogatory?
Text/7d/text,"Ya soy infame tanto para los otros habitantes de las profundidades como para los humanos, prefiero adoptar el título y hacerlo mío antes que negarlo, además, me queda de fábula.","I’m already infamous to my fellow inhabitants of the deep as well as to humans, i’d rather embrace the title and make it mind, besides, it just fits me perfectly, don’t you think?"
Text/7e/text,¿Y para que tanto interés en ser vista como una bruja…? ¿Disfrutas de la miseria de los demás?,And why so much interest in being seen as a witch…? You enjoy other people’s misery that much?
Text/7f/text,"Pues ya ves que es obvio que si, ¡jajaja! Pero no tiene nada que ver con mis motivos.","As you can already tell, I obviously do, kyahaha! But it has nothing to do with my real motives."
Text/80/text,"Como cualquier estudiante de las fuerzas arcanas yo solo busco conocimiento y maneras de mejorarme por encima de los demás, si alguien sufre por ello no son nada más que bajas accidentales, minucias.","As any scholar of the arcane forces I only crave knowledge and ways to put myself above everyone else, if someone suffers due to it then they’re nothing more than casualties, petty details."
Text/81/text,Eso es bastante cruel…,That’s kind of cruel…
Text/82/text,"Tampoco es que vaya matando gente por diversión, todo es por un bien mayor, [pause=0.5]MI bien mayor.","Its not like I go around killing people for fun, it's all for the greater good, [pause=0.5] MY greater good"
Text/83/text,"Y eventualmente me volveré invencible, con un poder tan descomunal que nadie será capaz de plantarme cara, seré perfecta, ¡alabada como una diosa!","And eventually i’ll be invincible, with such a humongous power that nobody will be able to face me, i’ll be perfect, praised like a goddess!"
Text/84/text,También podrías empezar por mejorar tu aspecto…,You could also start by improving your looks…
Text/85/text,¿Qué has dicho?,What was that?
Text/86/text,¡N-NADA-!,N-NOTHING-!
Choice/87/text,¿Odias a los humanos?,
Choice/87/disabled_text,,
Text/88/text,¿Odias a los humanos?,
Text/89/text,"Nah, no los odio, pero eso no quita que no sean objetivamente inferiores.","Nah, I don’t hate them, but that doesn’t make them any less objectively inferior."
Text/8a/text,¿Q-Qué nos hace inferiores exactamente?,W-What makes us inferior exactly?
Text/8b/text,"El hecho de que no tenéis conocimiento de las fuerzas arcanas por ejemplo, os habéis separado hasta tal punto de la naturaleza que se os han olvidado vuestras propias raíces.","How about the fact that you have no knowledge of the arcane forces for example, you have split yourself from nature to the point you’ve forgotten your own roots."
Text/8c/text,"Pero también hemos conseguido muchos otros logros, como ir al espacio…","But we’ve also managed many other accomplishments, like going to space…"
Text/8d/text,"El espacio, ¡JA!, no habeis ni tan siquiera explorado la mayoría de los mares de este planeta y de verdad piensas que me voy a creer eso.","Space, HAH!, you haven’t even explored most of the seas on this planet and you actually believe I'm going to believe that."
Text/8e/text,"¡No podéis ni tan siquiera sobrevivir aquí abajo durante mucho tiempo, es patético!","You can’t even survive down here for long, it's pathetic!"
Text/8f/text,"Tú tampoco puedes sobrevivir en la superficie, ¿verdad?","You can’t survive on the surface either, can you?"
Text/90/text,...,...
Text/91/text,[pause=0.5]“...Touche.”,[pause=0.5]...Touche.
Choice/92/text,¿Qué era esa criatura gigante de agua que me atacó?,What was that giant water creature that attacked me?
Choice/92/disabled_text,,
Text/93/text,¿Qué era esa criatura gigante de agua que me atacó?,What was that giant water creature that attacked me?
Text/94/text,[pause=3.0]...,[pause=3.0]...
Text/95/text,...,...
Text/96/text,"La bruja me miró intensamente, parecía que se intentaba aguantar la risa…","The witch stared at me intensely, she looked as if she was holding back her laughter…"
Text/97/text,¿...Y bien?,...So?
Text/98/text,Oh nada nada… Solo diré que has tenido una suerte descomunal…,Oh nothing… I’ll only say you’ve had some insane luck…
Text/99/text,¿Entonces la conoces?,So you know it?
Text/9a/text,No diré nada al respecto por tu bien… Solo reza por que no te la vuelvas a encontrar… Jeje…,I’ll say nothing on it for your own good… Just pray that you don’t encounter her again… Hehe…
Text/9b/text,"Sentí ese terror de antes por unos instantes, mejor cambio de tema…","I felt that terrifying feeling from before for a few instants, I better change topics…"
Choice/9c/text,¿Te gusto?,Do you like me?
Choice/9c/disabled_text,,
Text/9d/text,¿Te gusto?,Do you like me?
Text/9e/text,¿Qué?,What?
Text/9f/text,"...Bueno si tu normalmente despedazas a humanos para usarlos de ingredientes, ¿por qué no lo has hecho conmigo?","...Well if you normally tear apart humans to use them as ingredients, why haven’t you done the same to me?"
Text/a0/text,"¡Ah! Porque me resultas más útil vivo en tu caso, tu sociabilidad humana es justo lo que necesito para hacerme con el ingrediente que me falta para mi poción.","Oh! Because you’re more useful to me being alive in your case, your human sociability is just what I need to get my hands on the missing ingredient I need for my potion."
Text/a1/text,Y por eso me has puesto esta maldición…,And that’s why you cursed me…
Text/a2/text,"Ya lo vas pillando, te recomiendo que te acostumbres a seguir mis órdenes si quieres sobrevivir aquí abajo…","Now you’re starting to get it, I suggest you get used to following my orders if you want to survive down here…"
Text/a3/text,A mi se me hace que tu también quieres compañía…,I feel like you’re also doing it cause you feel lonely…
Text/a4/text,¡No intentes engatusarme con tus sentimentalidades humanas! ¡Solo eres una herramienta! ¡Un esbirro más!,Don’t try to swoon me with your human sentimentalities! You’re just a tool! Another minion for me to use!
Text/a5/text,Si tu lo dices…,If you say so…
Choice/a6/text,¿Cómo puedo volver a mi forma humana?,How can I go back to being a human?
Choice/a6/disabled_text,,
Text/a7/text,¿Cómo puedo volver a mi forma humana?,How can I go back to being a human?
Label/a8/display_name,,
Text/a9/text,"¿Así que vuelves con esas eh? Bien, pues iré al grano…","So we’re back to this huh? Fine, I'll get to the point…"
Text/aa/text,La única manera de quitar tu maldición es consiguiendo la misma poción que estoy intentando crear yo… Una poción formada por esencias de los sentimientos que habitan en criaturas inteligentes…,The only way to get rid of your curse is to use the same potion that i’m making… A potion made out of the various emotional essences that exist within intelligent creatures…
Text/ab/text,"Ya tengo todos los ingredientes: ira, alegría, tristeza, miedo, mucho miedo… Y solo me falta una esencia de sentimiento más, la más compleja de todas…","I already have most ingredients: wrath, joy, sorrow, fear, so much fear… And I only need another emotional essence, the most difficult of all to attain…"
Text/ac/text,La esencia del sentimiento del amor… Formada únicamente cuando una unión emocional de tal pureza se crea entre dos personas…,The emotional essence of love… Forged only when a pure emotional bond between two people manifests…
Text/ad/text,"Lo cuál requiere relacionarse con otras personas, caerles bien, hacer que le gustes, en fin muchos pasos complejos que no van conmigo. Además de que mi infamia ya me pone en desventaja.","Which requires meeting folks, being friendly, making them like you, many bothersome steps that aren’t my thing. Not to mention my reputation putting me at a disadvantage."
Text/ae/text,"Y ahí entras TÚ mi querido esbirro, serás la nueva cara en este mar perdido, quiero que encuentres a alguien, quien sea, y que hagas que se enamoren de ti para obtener esa esencia.","And that’s where YOU come in my dear minion, you’ll be the new face around this sea neighborhood, I want you to find someone, anyone, and make them fall for you so I can get my hands on that essence."
Text/af/text,"Si quieres volver a ser humano no te queda otra que seguir mis instrucciones, jejeje…","If you want to go back to being a human, you have no choice but to follow my instructions, kehehe…"
Text/b0/text,"Sentí desesperación al escuchar sus palabras, ¿de verdad no tengo más elección que ayudarla? No quería creerlo, no quiero tener que ser un esclavo para esta bruja…","I felt desperate as I heard her words, do I really have no choice but to help her? I didn’t want to believe it, I didn’t want to be a slave for this witch…"
Text/b1/text,"...N-No… …N-No puede ser cierto, ¡tiene que haber otra manera!","...N-No… …I-It can’t be true, there has to be another way!"
Text/b2/text,"¡Ja! Creeme, si la hubiera ya la hubiera utilizado yo, no tienes otra elección, yo ya tengo el resto de la poción preparada y solo falta ese ingrediente.","Hah! Believe me, if there was, I'd have already used it, you have no choice, I already have the rest of the potion at the ready and I only need that last ingredient."
Text/b3/text,"¡...M-Me niego! Tiene que haber otra manera allí afuera, y-y si no, entonces yo crearé la poción por mi cuenta, ¡no dejaré que me manipules!","...I-I refuse! There has to be another way out there, a-and if there isn’t, then I'll just make the potion myself, I won’t let you use me!"
Text/b4/text,"Oye oye oye… No te pases de listo… Solo estas vivo gracias a mi, estas en MI cueva, y aunque escapes no tienes ni idea de lo que te depara allí afuera…","Hey hey hey… Don’t get too cocky… You’re only alive thanks to me, you’re in MY cave, and even if you escape you have no idea what awaits you out there…"
Text/b5/text,Creeme cuando te digo que los habitantes de estas profundidades no son tan piadosos como yo…  [b]Terminarás muerto en cuestión de minutos.[/b],Trust me when I say that the inhabitants of the deep aren’t as merciful as I am… [b]You’ll be dead in a matter of minutes.[/b]
Text/b6/text,...Prefiero arriesgarme.,…I’d rather risk it.
Text/b7/text,"En ese momento, la bruja empezó a gruñir de frustración, extrañas criaturas arrugadas empezaron a emerger de entre las grietas de la cueva, acercándose lentamente hacia mi…","At that moment the witch began to growl in frustration, strange wrinkly creatures began to emerge from within the cracks on the cave walls, slowly moving towards me…"
Text/b8/text,Te recomiendo que cambies de idea… A menos que quieras que te mate yo misma…,I suggest you change your mind… Unless you’d rather die by my hand…
Text/b9/text,"Los esbirros de la bruja mordían hacia mi amenazantemente, magia extraña brotaba de sus manos…","The witch’s minions brandished their jaws threateningly towards me, strange magic cracking on her hands…"
Text/ba/text,¿Y bien humano? ¿Qué harás?,"So human, [b]what will you do?[/b]"
Label/bb/display_name,,
Choice/bc/text,¡Huir!,Run!
Choice/bc/disabled_text,,
Text/bd/text,"¡Inmediatamente empecé a nadar en dirección contraria para escapar del cuarto, adentrándome en la cueva con la esperanza de encontrar otra salida!","I immediately swam away to leave the room, delving deeper into the cave in the hopes of finding an exit!"
Text/be/text,¡Insensato! ¡Nadie conoce estas cuevas mejor que yo! ¡No saldrás con vida! ¡TRAS ÉL!,You fool! Nobody knows these caves better than I! You won’t get out of here alive! AFTER HIM!
Choice/bf/text,¡Luchar!,Fight!
Choice/bf/disabled_text,,
Text/c0/text,"Me pongo en posición de combate, enseñando mis dientes y puños sin miedo.","I get in a fighting stance, showing my sharp teeth and fists without fear."
Text/c1/text,"...¡JAJAJAJA! ¡¿Es en serio?! ¡No tienes ni idea del poder que tengo, te podría matar en un instante!","...KYAHAHAHA! Are you serious?! You have no idea of the sheer power I hold, I could kill you in an instant!"
Text/c2/text,¡I-Inténtalo entonces bruja!,T-Try it then witch!
Text/c3/text,¡Que así sea pues! [pause=0.2] ¡PREPÁRATE A MORIR!,So be it! [pause=0.2] PREPARE TO DIE!
Text/c4/text,"Me abalancé sobre la bruja rápidamente, atacando con arañazos y mordiscos gracias a mi nueva forma.","I quickly lunged at the witch, attacking her with scratches and bites thanks to my new form."
Label/c5/display_name,,
Text/c6/text,URGH-! No lo haces mal…,URGH-! Not too shabby…
Text/c7/text,"Conseguí arrinconar a la bruja, estábamos agarrados el uno al otro, intentando subyugarnos el uno al otro.","I managed to corner the witch, we gripped each other, trying to overpower one another."
Text/c8/text,"Por suerte, vi mi oportunidad: una estalactita caída en el suelo.","Luckily, I saw my opportunity: a broken stalactite on the ground."
Text/c9/text,¡Utilicé mi cola para cogerla y-!,I used my tail to snatch it and-!
Text/ca/text,¡¡¡GYYYYYAAAAAAAAAAAAGGGGGGHHHHHH-!!!,¡¡¡GYYYYYAAAAAAAAAAAAGGGGGGHHHHHH-!!!
Text/cb/text,¡Lo conseguí! ¡La hice sangrar!,I did it! I made her bleed!
Text/cc/text,G-Ggghhh…[pause=0.2] I-Idiota… [pause=0.2]¿...Q-Que no ves que lo único que te mantiene con vida aquí abajo soy y-yo…?,G-Ggghhh… [pause=0.2] Y-You idiot… [pause=0.2] …D-Don’t you see i’m the only one keeping you alive down h-here…?
Text/cd/text,Prefiero vivir por mi propia cuenta… Ya no volverás a hacer daño a nadie más…,I’d rather live on my own accord… You won’t hurt anyone else anymore…
Text/ce/text,...J-Jejejeje… [pause=0.2] …No tienes ni idea de lo que te depara…,...K-Kehehehe… [pause=0.2] …You have no idea what awaits you…
Text/cf/text,Disfruta… [pause=0.2] de tu muerte…,Enjoy… [Mini pausa] your demise…
Text/d0/text,"La bruja entonces se desvaneció en una nube oscura, sin dejar rastro…","The witch then vanished in a purple smog cloud, leaving no trace…"
Text/d1/text,…Supongo que eso cuenta como haberla derrotado.,…I guess that counts as beating her.
